framework,tracker,status,input_kind,input_name,input_json,source_path,gt_mot,frames_dir,model_path,pred_mot,runtime_json,metrics_csv,metrics_json,sequence_name,dataset_name,dataset_split,tracking_frame_count,tracking_time_seconds,tracking_time_per_frame_ms,tracking_fps,tracking_timing_scope,tracking_includes_input_adaptation,tracking_includes_frame_io,tracking_includes_mot_writing,tracking_includes_rendering,tracking_includes_output_writes,tracking_includes_evaluation,tracking_includes_process_startup,num_frames,idf1,idp,idr,precision,recall,mota,motp,num_switches,num_false_positives,num_misses,mostly_tracked,mostly_lost,sequence_label
boxmot,boxmot_boosttrack,completed_cached,motchallenge_det,motchallenge_public_det,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\_inputs\motchallenge\train\MOT20-01_motchallenge_det.json,D:\AOC\datasets\MOT20\train\MOT20-01\det\det.txt,D:\AOC\datasets\MOT20\train\MOT20-01\gt\gt.txt,D:\AOC\datasets\MOT20\train\MOT20-01\img1,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\MOT20-01_motchallenge_det\boxmot_boosttrack_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-01_motchallenge_det\boxmot_boosttrack_runtime.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-01_motchallenge_det\boxmot_boosttrack_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-01_motchallenge_det\boxmot_boosttrack_metrics.json,MOT20-01,MOT20,train,429,119.99295069996151,279.7038477854581,3.5752100227345904,"Per-frame tracking computation only; excludes frame disk I/O, MOT writing, rendering, rendered output writes, and MOT evaluation.",True,False,False,False,False,False,False,429,0.3373696199496463,0.8191344847661557,0.2124308002013085,0.87172520861634,0.2260694514343231,0.19169602415702058,0.06125758754236883,22,661,15378,5,46,sequence
boxmot,boxmot_botsort,completed_cached,motchallenge_det,motchallenge_public_det,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\_inputs\motchallenge\train\MOT20-01_motchallenge_det.json,D:\AOC\datasets\MOT20\train\MOT20-01\det\det.txt,D:\AOC\datasets\MOT20\train\MOT20-01\gt\gt.txt,D:\AOC\datasets\MOT20\train\MOT20-01\img1,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\MOT20-01_motchallenge_det\boxmot_botsort_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-01_motchallenge_det\boxmot_botsort_runtime.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-01_motchallenge_det\boxmot_botsort_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-01_motchallenge_det\boxmot_botsort_metrics.json,MOT20-01,MOT20,train,429,99.3260787994659,231.52932121087622,4.31910738030974,"Per-frame tracking computation only; excludes frame disk I/O, MOT writing, rendering, rendered output writes, and MOT evaluation.",True,False,False,False,False,False,False,429,0.29194783688677295,0.8228704784130688,0.177453447408153,0.8970828471411902,0.19345747357825868,0.17010568696527428,0.05922339108192313,23,441,16026,4,50,sequence
boxmot,boxmot_bytetrack,completed_cached,motchallenge_det,motchallenge_public_det,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\_inputs\motchallenge\train\MOT20-01_motchallenge_det.json,D:\AOC\datasets\MOT20\train\MOT20-01\det\det.txt,D:\AOC\datasets\MOT20\train\MOT20-01\gt\gt.txt,D:\AOC\datasets\MOT20\train\MOT20-01\img1,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\MOT20-01_motchallenge_det\boxmot_bytetrack_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-01_motchallenge_det\boxmot_bytetrack_runtime.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-01_motchallenge_det\boxmot_bytetrack_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-01_motchallenge_det\boxmot_bytetrack_metrics.json,MOT20-01,MOT20,train,429,1.0562162998539861,2.4620426570022986,406.1668050940948,"Per-frame tracking computation only; excludes frame disk I/O, MOT writing, rendering, rendered output writes, and MOT evaluation.",True,False,False,False,False,False,False,429,0.28,0.7899532710280374,0.17015601409159536,0.89696261682243,0.19320583794665325,0.1698037242073478,0.07418976393014161,24,441,16031,4,50,sequence
boxmot,boxmot_deepocsort,completed_cached,motchallenge_det,motchallenge_public_det,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\_inputs\motchallenge\train\MOT20-01_motchallenge_det.json,D:\AOC\datasets\MOT20\train\MOT20-01\det\det.txt,D:\AOC\datasets\MOT20\train\MOT20-01\gt\gt.txt,D:\AOC\datasets\MOT20\train\MOT20-01\img1,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\MOT20-01_motchallenge_det\boxmot_deepocsort_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-01_motchallenge_det\boxmot_deepocsort_runtime.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-01_motchallenge_det\boxmot_deepocsort_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-01_motchallenge_det\boxmot_deepocsort_metrics.json,MOT20-01,MOT20,train,429,87.99661460035713,205.12031375374625,4.875187550661283,"Per-frame tracking computation only; excludes frame disk I/O, MOT writing, rendering, rendered output writes, and MOT evaluation.",True,False,False,False,False,False,False,429,0.2683319220999153,0.8450666666666666,0.15948666331152492,0.9013333333333333,0.17010568696527428,0.15052843482637146,0.05825481163070846,19,370,16490,2,54,sequence
boxmot,boxmot_ocsort,completed_cached,motchallenge_det,motchallenge_public_det,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\_inputs\motchallenge\train\MOT20-01_motchallenge_det.json,D:\AOC\datasets\MOT20\train\MOT20-01\det\det.txt,D:\AOC\datasets\MOT20\train\MOT20-01\gt\gt.txt,D:\AOC\datasets\MOT20\train\MOT20-01\img1,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\MOT20-01_motchallenge_det\boxmot_ocsort_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-01_motchallenge_det\boxmot_ocsort_runtime.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-01_motchallenge_det\boxmot_ocsort_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-01_motchallenge_det\boxmot_ocsort_metrics.json,MOT20-01,MOT20,train,429,0.919488199375337,2.1433291360730466,466.56389966879965,"Per-frame tracking computation only; excludes frame disk I/O, MOT writing, rendering, rendered output writes, and MOT evaluation.",True,False,False,False,False,False,False,429,0.26636186605706547,0.8384861407249466,0.1583291394061399,0.9013859275053305,0.17020634121791645,0.15062908907901362,0.05823750917124249,19,370,16488,2,54,sequence
boxmot,boxmot_strongsort,completed_cached,motchallenge_det,motchallenge_public_det,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\_inputs\motchallenge\train\MOT20-01_motchallenge_det.json,D:\AOC\datasets\MOT20\train\MOT20-01\det\det.txt,D:\AOC\datasets\MOT20\train\MOT20-01\gt\gt.txt,D:\AOC\datasets\MOT20\train\MOT20-01\img1,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\MOT20-01_motchallenge_det\boxmot_strongsort_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-01_motchallenge_det\boxmot_strongsort_runtime.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-01_motchallenge_det\boxmot_strongsort_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-01_motchallenge_det\boxmot_strongsort_metrics.json,MOT20-01,MOT20,train,429,83.78702839993639,195.30775850801024,5.1201242983851385,"Per-frame tracking computation only; excludes frame disk I/O, MOT writing, rendering, rendered output writes, and MOT evaluation.",True,False,False,False,False,False,False,429,0.27516443260344686,0.7960019267822736,0.16633115249119276,0.896917148362235,0.18741821841972822,0.16467035732259683,0.059436416925096124,24,428,16146,4,50,sequence
deepsort,deepsort,completed_cached,motchallenge_det,motchallenge_public_det,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\_inputs\motchallenge\train\MOT20-01_motchallenge_det.json,D:\AOC\datasets\MOT20\train\MOT20-01\det\det.txt,D:\AOC\datasets\MOT20\train\MOT20-01\gt\gt.txt,D:\AOC\datasets\MOT20\train\MOT20-01\img1,reports\runs\tracker_suite\_weights\mars-small128.pb,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\MOT20-01_motchallenge_det\deepsort_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-01_motchallenge_det\deepsort_runtime.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-01_motchallenge_det\deepsort_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-01_motchallenge_det\deepsort_metrics.json,MOT20-01,MOT20,train,429,8.503658200148493,19.822047086593223,50.44887622511788,"Per-frame tracking computation only; excludes frame disk I/O, MOT writing, rendering, rendered output writes, and MOT evaluation.",True,False,False,False,False,False,False,429,0.28207551045560986,0.7678371728919705,0.1727730246602919,0.8953254305524491,0.20145948666331154,0.17669854051333667,0.0752215620995942,24,468,15867,4,48,sequence
norfair,norfair,completed_cached,motchallenge_det,motchallenge_public_det,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\_inputs\motchallenge\train\MOT20-01_motchallenge_det.json,D:\AOC\datasets\MOT20\train\MOT20-01\det\det.txt,D:\AOC\datasets\MOT20\train\MOT20-01\gt\gt.txt,D:\AOC\datasets\MOT20\train\MOT20-01\img1,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\MOT20-01_motchallenge_det\norfair_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-01_motchallenge_det\norfair_runtime.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-01_motchallenge_det\norfair_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-01_motchallenge_det\norfair_metrics.json,MOT20-01,MOT20,train,429,1.05518670057063,2.459642658672797,406.56312268530576,"Per-frame tracking computation only; excludes frame disk I/O, MOT writing, rendering, rendered output writes, and MOT evaluation.",True,False,False,False,False,False,False,429,0.5299310095502063,0.6601366058695489,0.44262707599396073,0.8938677475043159,0.5993457473578259,0.5231504781077001,0.10691264389141131,100,1414,7961,20,12,sequence
boxmot,boxmot_boosttrack,completed_cached,motchallenge_det,motchallenge_public_det,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\_inputs\motchallenge\train\MOT20-02_motchallenge_det.json,D:\AOC\datasets\MOT20\train\MOT20-02\det\det.txt,D:\AOC\datasets\MOT20\train\MOT20-02\gt\gt.txt,D:\AOC\datasets\MOT20\train\MOT20-02\img1,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\MOT20-02_motchallenge_det\boxmot_boosttrack_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-02_motchallenge_det\boxmot_boosttrack_runtime.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-02_motchallenge_det\boxmot_boosttrack_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-02_motchallenge_det\boxmot_boosttrack_metrics.json,MOT20-02,MOT20,train,2782,987.1504769994353,354.8348227891572,2.818212688764766,"Per-frame tracking computation only; excludes frame disk I/O, MOT writing, rendering, rendered output writes, and MOT evaluation.",True,False,False,False,False,False,False,2782,0.3377828201948805,0.7567537170749263,0.21741350118261363,0.8791191488404526,0.25256879192462295,0.2167155652634708,0.06014134897568616,174,5374,115659,11,141,sequence
boxmot,boxmot_botsort,completed,motchallenge_det,motchallenge_public_det,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\_inputs\motchallenge\train\MOT20-02_motchallenge_det.json,D:\AOC\datasets\MOT20\train\MOT20-02\det\det.txt,D:\AOC\datasets\MOT20\train\MOT20-02\gt\gt.txt,D:\AOC\datasets\MOT20\train\MOT20-02\img1,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\MOT20-02_motchallenge_det\boxmot_botsort_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-02_motchallenge_det\boxmot_botsort_runtime.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-02_motchallenge_det\boxmot_botsort_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\MOT20-02_motchallenge_det\boxmot_botsort_metrics.json,MOT20-02,MOT20,train,2782,614.9402505000027,221.04250557153222,4.524016760551906,"Per-frame tracking computation only; excludes frame disk I/O, MOT writing, rendering, rendered output writes, and MOT evaluation.",True,False,False,False,False,False,False,2782,0.27742975323002134,0.7192427315753888,0.17186025771930052,0.891710615280595,0.21307078879683602,0.1859999224515645,0.05887749906350957,185,4004,121771,8,157,sequence
