framework,tracker,status,input_kind,input_name,input_json,source_path,gt_mot,frames_dir,model_path,pred_mot,runtime_json,metrics_csv,metrics_json,sequence_name,tracking_frame_count,tracking_time_seconds,tracking_time_per_frame_ms,tracking_fps,tracking_timing_scope,tracking_includes_input_adaptation,tracking_includes_frame_io,tracking_includes_mot_writing,tracking_includes_rendering,tracking_includes_output_writes,tracking_includes_evaluation,tracking_includes_process_startup,num_frames,idf1,idp,idr,precision,recall,mota,motp,num_switches,num_false_positives,num_misses,mostly_tracked,mostly_lost,sequence_label
boxmot,boxmot_boosttrack,completed_cached,detections,yolo11s4,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\GTs_MOT\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye.txt,D:\AOC\datasets\aghri-val\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label\sensor_data\cam_fish_front,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\boxmot_boosttrack_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\boxmot_boosttrack_runtime.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\boxmot_boosttrack_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\boxmot_boosttrack_metrics.json,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye,607,41.401401299692225,68.2065919270053,14.661339494431857,"Per-frame tracking computation only; excludes frame disk I/O, MOT writing, rendering, rendered output writes, and MOT evaluation.",True,False,False,False,False,False,False,607,1.0,1.0,1.0,1.0,1.0,1.0,0.12085652025188792,0,0,0,1,0,sequence
boxmot,boxmot_botsort,completed_cached,detections,yolo11s4,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\GTs_MOT\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye.txt,D:\AOC\datasets\aghri-val\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label\sensor_data\cam_fish_front,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\boxmot_botsort_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\boxmot_botsort_runtime.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\boxmot_botsort_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\boxmot_botsort_metrics.json,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye,607,36.671219999785535,60.41387149882296,16.55248993634654,"Per-frame tracking computation only; excludes frame disk I/O, MOT writing, rendering, rendered output writes, and MOT evaluation.",True,False,False,False,False,False,False,607,1.0,1.0,1.0,1.0,1.0,1.0,0.11222168352331802,0,0,0,1,0,sequence
boxmot,boxmot_bytetrack,completed_cached,detections,yolo11s4,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\GTs_MOT\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye.txt,D:\AOC\datasets\aghri-val\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label\sensor_data\cam_fish_front,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\boxmot_bytetrack_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\boxmot_bytetrack_runtime.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\boxmot_bytetrack_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\boxmot_bytetrack_metrics.json,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye,607,0.2727983996155672,0.44942075719203817,2225.086367278533,"Per-frame tracking computation only; excludes frame disk I/O, MOT writing, rendering, rendered output writes, and MOT evaluation.",True,False,False,False,False,False,False,607,1.0,1.0,1.0,1.0,1.0,1.0,0.13350692765330294,0,0,0,1,0,sequence
boxmot,boxmot_deepocsort,completed_cached,detections,yolo11s4,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\GTs_MOT\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye.txt,D:\AOC\datasets\aghri-val\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label\sensor_data\cam_fish_front,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\boxmot_deepocsort_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\boxmot_deepocsort_runtime.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\boxmot_deepocsort_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\boxmot_deepocsort_metrics.json,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye,607,32.510867398872506,53.55991334245882,18.67067994688604,"Per-frame tracking computation only; excludes frame disk I/O, MOT writing, rendering, rendered output writes, and MOT evaluation.",True,False,False,False,False,False,False,607,1.0,1.0,1.0,1.0,1.0,1.0,0.10935804184404237,0,0,0,1,0,sequence
boxmot,boxmot_ocsort,completed_cached,detections,yolo11s4,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\GTs_MOT\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye.txt,D:\AOC\datasets\aghri-val\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label\sensor_data\cam_fish_front,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\boxmot_ocsort_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\boxmot_ocsort_runtime.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\boxmot_ocsort_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\boxmot_ocsort_metrics.json,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye,607,0.5986497009871528,0.9862433294681264,1013.9485562242459,"Per-frame tracking computation only; excludes frame disk I/O, MOT writing, rendering, rendered output writes, and MOT evaluation.",True,False,False,False,False,False,False,607,1.0,1.0,1.0,1.0,1.0,1.0,0.10935804184404237,0,0,0,1,0,sequence
boxmot,boxmot_strongsort,completed_cached,detections,yolo11s4,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\GTs_MOT\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye.txt,D:\AOC\datasets\aghri-val\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label\sensor_data\cam_fish_front,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\boxmot_strongsort_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\boxmot_strongsort_runtime.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\boxmot_strongsort_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\boxmot_strongsort_metrics.json,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye,607,35.23803469957784,58.052775452352286,17.225705269178135,"Per-frame tracking computation only; excludes frame disk I/O, MOT writing, rendering, rendered output writes, and MOT evaluation.",True,False,False,False,False,False,False,607,0.9983498349834984,1.0,0.9967051070840197,1.0,0.9967051070840197,0.9967051070840197,0.10959474068277515,0,0,2,1,0,sequence
deepsort,deepsort,completed_cached,detections,yolo11s4,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\GTs_MOT\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye.txt,D:\AOC\datasets\aghri-val\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label\sensor_data\cam_fish_front,reports\runs\tracker_suite\_weights\mars-small128.pb,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\deepsort_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\deepsort_runtime.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\deepsort_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\deepsort_metrics.json,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye,607,5.982847201055847,9.85642043007553,101.4567110944898,"Per-frame tracking computation only; excludes frame disk I/O, MOT writing, rendering, rendered output writes, and MOT evaluation.",True,False,False,False,False,False,False,607,0.9834983498349835,0.9851239669421488,0.9818780889621087,0.9983471074380166,0.9950576606260296,0.9901153212520593,0.1282457665834295,2,1,3,1,0,sequence
norfair,norfair,completed_cached,detections,yolo11s4,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\GTs_MOT\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye.txt,D:\AOC\datasets\aghri-val\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label\sensor_data\cam_fish_front,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\norfair_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\norfair_runtime.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\norfair_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye_yolo11s4_detections\norfair_metrics.json,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_front_fisheye,607,0.23760390043025836,0.3914397041684652,2554.6718673423757,"Per-frame tracking computation only; excludes frame disk I/O, MOT writing, rendering, rendered output writes, and MOT evaluation.",True,False,False,False,False,False,False,607,0.9942004971002486,1.0,0.9884678747940692,1.0,0.9884678747940692,0.9884678747940692,0.11958612373166023,0,0,7,1,0,sequence
boxmot,boxmot_boosttrack,completed_cached,detections,yolo11s2,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\GTs_MOT\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb.txt,D:\AOC\datasets\aghri-val\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label\sensor_data\cam_zed_rgb,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\boxmot_boosttrack_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\boxmot_boosttrack_runtime.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\boxmot_boosttrack_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\boxmot_boosttrack_metrics.json,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb,262,15.456428599660285,58.99400228877971,16.950875702667723,"Per-frame tracking computation only; excludes frame disk I/O, MOT writing, rendering, rendered output writes, and MOT evaluation.",True,False,False,False,False,False,False,262,1.0,1.0,1.0,1.0,1.0,1.0,0.13634012940068196,0,0,0,1,0,sequence
boxmot,boxmot_botsort,completed_cached,detections,yolo11s2,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\GTs_MOT\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb.txt,D:\AOC\datasets\aghri-val\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label\sensor_data\cam_zed_rgb,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\boxmot_botsort_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\boxmot_botsort_runtime.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\boxmot_botsort_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\boxmot_botsort_metrics.json,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb,262,16.487069399969187,62.92774580140911,15.891241411314109,"Per-frame tracking computation only; excludes frame disk I/O, MOT writing, rendering, rendered output writes, and MOT evaluation.",True,False,False,False,False,False,False,262,1.0,1.0,1.0,1.0,1.0,1.0,0.11113238471526869,0,0,0,1,0,sequence
